"season_number","Contestant","Age","Occupation","Hometown","contestant_urls","Blind Taste Test Score","Challenges Won","Services Won","Times as BoW/Announcer","Times Nominated","Placement","Episode Eliminated/Withdrew","Signature Dish Challenge Score"
"Season 1","Andrew Bonito",24,"Office Assistant","Livingston, NJ","https://hellskitchen.fandom.com/wiki/Andrew_Bonito","1 out of 4","1","3","0","3","6th","Day 6",NA
"Season 1","Jessica Cabo",26,"Headhunter","Huntington, NY","https://hellskitchen.fandom.com/wiki/Jessica_Cabo","0 out of 4","1","3","2","2","3rd","Day 9",NA
"Season 1","Jimmy Casey",25,"Purchasing Supervisor","Williston Park, NY","https://hellskitchen.fandom.com/wiki/Jimmy_Casey","1 out of 4","5","3","0","1","5th","Day 7",NA
"Season 1","Mary Ellen Daniels",27,"Bartender","Belmont, MA","https://hellskitchen.fandom.com/wiki/Mary_Ellen_Daniels",NA,"1","2","0","1","8th","Day 4",NA
"Season 1","Jeffery Dewberry",33,"Pastry Chef","Stockbridge, GA","https://hellskitchen.fandom.com/wiki/Jeffery_Dewberry",NA,"1","0","0","2","11th","Day 2",NA
"Season 1","Jeff LaPoff",28,"Finance Manager","Orange, NJ","https://hellskitchen.fandom.com/wiki/Jeff_LaPoff",NA,"2","0","0","1","10th","Day 3",NA
"Season 1","Wendy Liu",32,"Account Manager","Millburn, NJ","https://hellskitchen.fandom.com/wiki/Wendy_Liu",NA,"0","2","0","1","9th","Day 3",NA
"Season 1","Chris North",35,"Executive Chef","Yorktown Heights, NY","https://hellskitchen.fandom.com/wiki/Chris_North",NA,"3","2","1","1","7th","Day 5",NA
"Season 1","Ralph Pagano",36,"Professional Chef","Livingston, NJ","https://hellskitchen.fandom.com/wiki/Ralph_Pagano","0 out of 2","2","3","2","1","Runner-up",NA,NA
"Season 1","Elsie Ramos",40,"Mother of Six","Maywood, NJ","https://hellskitchen.fandom.com/wiki/Elsie_Ramos","3 out of 4","5","3","1","2","4th","Day 8",NA
"Season 1","Carolann Valentino",33,"Server's Assistant","Dallas, TX","https://hellskitchen.fandom.com/wiki/Carolann_Valentino",NA,"0","0","0","1","12th","Day 1",NA
"Season 1","Michael Wray",27,"Professional Chef","Fort Collins, CO","https://hellskitchen.fandom.com/wiki/Michael_Wray","0 out of 1","4","5","1","0","Winner",NA,NA
"Season 2","Giacomo Alfieri",21,"Pizza Chef","Euless, TX","https://hellskitchen.fandom.com/wiki/Giacomo_Alfieri",NA,"0","1","0","2","9th","9 Chefs",NA
"Season 2","Rachel Brown",39,"Personal Chef","Dallas, TX","https://hellskitchen.fandom.com/wiki/Rachel_Brown",NA,"3","2","0","2","7th","7 Chefs",NA
"Season 2","Virginia Dalbeck",25,"Salad Chef","New York City, NY","https://hellskitchen.fandom.com/wiki/Virginia_Dalbeck","3 out of 4","7","2","1","6","Runner-up",NA,NA
"Season 2","Gabe Gagliardi",27,"Marketing Executive","Chicago, IL","https://hellskitchen.fandom.com/wiki/Gabe_Gagliardi",NA,"0","1","0","1","10th","11 Chefs",NA
"Season 2","Keith Greene",28,"Chef & Bartender","Southampton, NY","https://hellskitchen.fandom.com/wiki/Keith_Greene","2 out of 4","2","3","3","1","3rd","3 Chefs",NA
"Season 2","Polly Holladay",43,"Caterer","Ben Franklin, TX","https://hellskitchen.fandom.com/wiki/Polly_Holladay",NA,"0","0","0","1","12th","12 Chefs",NA
"Season 2","Sara Horowitz",31,"Deli Manager","Dallas, TX","https://hellskitchen.fandom.com/wiki/Sara_Horowitz","2 out of 3","4","2","1","2","4th","4 Chefs",NA
"Season 2","Maribel Miller",31,"Cafeteria Chef","Brooklyn, NY","https://hellskitchen.fandom.com/wiki/Maribel_Miller","2 out of 4","4","2","0","2","6th","6 Chefs",NA
"Season 2","Tom Pauley",43,"Former Stockbroker","Belleville, NJ","https://hellskitchen.fandom.com/wiki/Tom_Pauley",NA,"1","1","0","3","8th","8 Chefs",NA
"Season 2","Larry Sik",38,"Fishmonger","Arlington, TX","https://hellskitchen.fandom.com/wiki/Larry_Sik",NA,"0","1","0","0","11th","11 Chefs",NA
"Season 2","Garrett Telle",27,"Former Prison Chef","Cedar Park, TX","https://hellskitchen.fandom.com/wiki/Garrett_Telle","2 out of 4","1","3","1","1","5th","5 Chefs",NA
"Season 2","Heather West",25,"Sous Chef","Port Jefferson, NY","https://hellskitchen.fandom.com/wiki/Heather_West","2 out of 4","3","4","2","0","Winner",NA,NA
"Season 3","Joanna Dunn",22,"Assistant Chef","Detroit, MI","https://hellskitchen.fandom.com/wiki/Joanna_Dunn",NA,"2","1","1","2","9th","10 Chefs Compete",NA
"Season 3","Vinnie Fama",29,"Nightclub Chef","Milltown, NJ","https://hellskitchen.fandom.com/wiki/Vinnie_Fama","0 out of 1","0","2","0","1","8th","8 Chefs Compete",NA
